Mean ELBO loss,Mean accuracy,Mean epoch wall clock times,Std ELBO loss,Std accuracy,Std epoch wall clock times
257.39688,0.23887001,3.2253048,3.689028,0.0011302119,0.098191924
428.10538,0.25847998,6.434009,0.27297634,0.0024352823,0.23312485
450.28122,0.33032665,9.638072,0.27527294,0.006517777,0.3406782
470.97662,0.36051667,12.837456,0.51539314,0.046961624,0.4384432
492.54453,0.30014,16.055313,0.8256661,0.019378586,0.5809171
505.83585,0.28437337,19.316124,0.8611403,0.022755172,0.70915514
516.1356,0.3398367,22.50307,1.8994746,0.06133027,0.86217725
530.4211,0.4062667,25.709934,3.6757116,0.0885488,1.0067455
543.4506,0.4168667,28.896936,3.4823496,0.1254159,1.1306126
552.7946,0.43499666,32.11194,2.9367247,0.15802667,1.2622454
560.13544,0.50237334,35.31422,2.7704775,0.17011309,1.400113
566.6292,0.5160934,38.55699,3.0056708,0.18148154,1.5148125
571.7409,0.52230334,41.83228,3.3746908,0.17023751,1.5684177
575.954,0.5577167,45.08796,3.1503866,0.2017318,1.6521615
580.02594,0.59843665,48.44073,4.2592874,0.2008688,1.8205322
583.123,0.6303867,51.774006,3.869181,0.17634931,1.9498389
586.1645,0.6493167,55.084858,4.0701766,0.18038607,2.0873764
588.5944,0.64354,58.345226,4.3256598,0.17384744,2.1471367
590.925,0.62856334,61.710236,4.93863,0.17430298,2.1123464
592.8688,0.70365,65.01729,5.7719316,0.1449167,2.1171095
595.2016,0.67987,68.35397,6.1335797,0.14728795,2.1310487
596.8286,0.72370666,71.68106,6.8458652,0.1243148,2.108616
598.6791,0.75448,75.025475,6.8122745,0.13211188,2.0833287
600.1571,0.76510334,78.39852,7.1849084,0.10302211,2.0828638
602.1136,0.7569667,81.68853,7.4280486,0.10734076,2.0269008
603.3991,0.78059006,84.95945,7.64476,0.09881618,1.9428383
604.9178,0.80483,88.17749,7.9832582,0.095606916,2.018903
606.5497,0.78112,91.37963,8.055222,0.11544376,2.034973
607.31903,0.7853667,94.60428,8.745511,0.11929606,1.9976006
608.89905,0.82338667,97.88244,8.785626,0.09484036,1.9705051
610.28516,0.8338634,101.11913,9.085877,0.085263185,1.9771999
611.3058,0.83748335,104.408104,8.966039,0.08214219,2.0570943
612.19336,0.8519533,107.67555,9.058826,0.07508285,2.0888422
613.89435,0.8490667,110.90053,8.81824,0.07380741,2.0859244
614.4021,0.86846334,114.16487,8.864496,0.0656957,2.1682887
616.0472,0.8763733,117.41192,8.671069,0.06381798,2.2213554
617.4069,0.8647,120.62754,8.278724,0.08117344,2.2402081
617.9316,0.8786467,123.82033,8.826676,0.06039341,2.2100782
619.05316,0.88005334,126.98916,8.464717,0.05473058,2.1837323
619.45416,0.8677166,130.18744,8.426355,0.069911554,2.159605
619.63104,0.8787467,133.38275,9.184494,0.06871129,2.1587725
