P Loss,Q Loss,Accuracy,Epoch wall clock times
-256.5552062988281,193.67800903320312,0.746833324432373,48.61462384100014
-326.1408386230469,202.77853393554688,0.8943666815757751,96.62233895600048
-356.1458435058594,197.03016662597656,0.9080333709716797,144.7887685780006
-369.7137451171875,195.31753540039062,0.9225666522979736,193.55089344100043
-378.9772644042969,194.66940307617188,0.9401000142097473,242.89155420800034
-385.5638427734375,193.1349334716797,0.9377333521842957,288.6653562780002
-390.803466796875,192.2410125732422,0.946399986743927,341.6020701279999
-390.45318603515625,193.46792602539062,0.9410666823387146,394.23935762999963
-395.9330139160156,192.46572875976562,0.9383167028427124,446.75244010399956
-394.94903564453125,193.80821228027344,0.9491666555404663,498.33429427799956
-398.39599609375,193.9649658203125,0.9555833339691162,550.4087108319995
-399.0916748046875,194.21884155273438,0.9538333415985107,602.8018779299996
-401.6247253417969,192.5127410888672,0.9555333256721497,655.0070579839999
-404.3475646972656,192.01788330078125,0.9574166536331177,707.4966647899996
-404.8644714355469,192.78382873535156,0.9530166983604431,759.8037805069998
-405.2547607421875,193.43624877929688,0.9463000297546387,812.251321016
-406.529541015625,193.20498657226562,0.9563500285148621,864.8760646790001
-407.9710998535156,190.64523315429688,0.9576666951179504,913.5695075150002
-406.51947021484375,186.58750915527344,0.958050012588501,954.9453930340001
-403.9554748535156,183.32118225097656,0.9572833180427551,1002.8935341430001
-401.44354248046875,179.0220489501953,0.9569166898727417,1055.297274052
